1	1			
1	1			
2	2			
2	2			
3	3			
3	3			
4	4			
4	4			
5	5			
5	5			
6	6			
6	6			
7	7			
7	7			
8	8			
8	8			
9	9			
9	9			
10	10			
10	10			
11	11			
11	11			
12	12			
12	12			
13	13			
13	13			
14	14			
14	14			
15	15			
15	15			
16	16			
16	16			
17	17			
17	17			
18	18			
18	18			
19	19			
19	19			
20	20			
20	20			
21	21			
21	21			
22	3	1	2	4
22	1	4	3	2
23	5	6		
23	5	6		
24	10	9	18	17
24	9	17	10	18
25	12	11	5	6
25	5	11	6	12
26	14	7		
26	14	7		
27	20	19		
27	20	19		
28	21	15		
28	15	21		
29	15	21	19	20
29	20	19	21	15
